 	Area	Mean	Min	Max
1690	344064	349.655	286	1261
1691	344064	348.682	285	1150
1692	344064	348.768	282	1144
1693	344064	348.161	284	1203
1694	344064	347.788	282	1220
1695	344064	347.339	280	1211
1696	344064	347.139	278	1225
1697	344064	347.541	282	1161
1698	344064	348.016	283	1109
1699	344064	346.416	282	1176
1700	344064	346.457	283	1128
1701	344064	345.992	282	1148
1702	344064	345.451	281	1137
1703	344064	345.351	285	1250
1704	344064	345.182	281	1181
1705	344064	345.579	275	1183
1706	344064	344.456	282	1149
1707	344064	344.360	283	1201
1708	344064	344.316	280	1131
1709	344064	344.617	280	1159
1710	344064	344.215	284	1118
1711	344064	343.897	283	1127
1712	344064	343.573	280	1168
1713	344064	344.107	278	1169
1714	344064	343.263	283	1113
1715	344064	343.442	279	1081
1716	344064	343.726	281	1223
1717	344064	343.357	282	1121
1718	344064	343.411	283	1103
1719	344064	343.262	281	1108
1720	344064	343.174	280	1197
1721	344064	343.414	280	1166
1722	344064	343.598	278	1147
1723	344064	342.811	276	1098
1724	344064	342.942	281	1147
1725	344064	342.845	278	1122
1726	344064	343.143	282	1212
1727	344064	342.651	279	1190
1728	344064	342.480	277	1194
1729	344064	342.552	280	1117
1730	344064	342.779	279	1180
1731	344064	342.862	277	1150
1732	344064	342.729	278	1130
1733	344064	342.895	283	1177
1734	344064	342.687	280	1171
1735	344064	342.517	281	1154
1736	344064	342.595	278	1179
1737	344064	342.931	280	1153
1738	344064	342.970	279	1149
1739	344064	343.026	280	1177
1740	344064	342.619	279	1088
1741	344064	342.461	281	1100
1742	344064	342.395	279	1160
1743	344064	342.671	280	1161
1744	344064	342.331	284	1117
1745	344064	342.475	282	1156
1746	344064	342.785	279	1189
1747	344064	342.394	283	1138
1748	344064	342.163	280	1208
1749	344064	342.199	279	1107
1750	344064	342.341	279	1108
1751	344064	343.588	279	1190
1752	344064	343.430	275	1207
1753	344064	342.448	280	1129
1754	344064	342.152	282	1184
1755	344064	342.109	273	1218
1756	344064	342.105	281	1204
1757	344064	342.452	280	1173
1758	344064	341.873	278	1176
1759	344064	341.948	281	1146
1760	344064	341.903	282	1129
1761	344064	341.804	279	1135
1762	344064	341.713	280	1113
1763	344064	341.733	281	1176
1764	344064	342.076	280	1150
1765	344064	817.504	631	4095
1766	344064	818.699	622	4095
1767	344064	820.725	629	4095
1768	344064	820.125	626	4095
1769	344064	820.710	626	4095
1770	344064	712.449	554	4095
1771	344064	711.696	550	4095
1772	344064	710.757	548	4095
1773	344064	710.621	551	4095
1774	344064	710.426	543	4095
1775	344064	475.416	380	4095
1776	344064	475.704	383	4095
1777	344064	476.334	380	4095
1778	344064	475.720	373	4095
1779	344064	476.081	375	4095
1780	344064	389.008	320	3943
1781	344064	387.939	321	3265
1782	344064	386.971	316	3702
1783	344064	386.801	319	4095
1784	344064	386.979	315	4095
1785	344064	349.406	294	3433
1786	344064	349.037	288	3249
1787	344064	348.724	291	3498
1788	344064	349.902	294	3189
1789	344064	350.143	292	3222
1790	344064	348.403	289	3525
1791	344064	347.579	292	2885
1792	344064	347.182	293	3049
1793	344064	346.886	293	2893
1794	344064	346.885	291	2514
1795	344064	346.969	290	2773
1796	344064	347.096	294	3217
1797	344064	345.926	290	2531
1798	344064	345.913	291	3240
1799	344064	345.314	290	3075
1800	344064	344.858	289	3214
1801	344064	344.534	290	2565
1802	344064	344.412	289	3246
1803	344064	344.715	290	3259
1804	344064	343.794	290	3265
1805	344064	343.777	288	2835
1806	344064	343.763	291	3492
1807	344064	343.914	288	3012
1808	344064	343.635	288	3487
1809	344064	343.360	286	3429
1810	344064	343.106	289	2606
1811	344064	344.053	290	3478
1812	344064	342.945	287	2820
1813	344064	342.907	288	2703
1814	344064	343.052	285	2547
1815	344064	342.791	288	2981
1816	344064	342.825	287	3135
1817	344064	342.586	288	3341
1818	344064	342.504	287	2921
1819	344064	342.720	282	3444
1820	344064	342.874	289	3308
1821	344064	342.291	286	3008
1822	344064	342.289	287	3002
1823	344064	342.323	288	2598
1824	344064	342.524	288	3276
1825	344064	342.167	288	2793
1826	344064	341.957	288	3384
1827	344064	342.102	288	2814
1828	344064	342.141	285	3293
1829	344064	342.082	284	3283
1830	344064	341.988	289	3028
1831	344064	342.410	287	3247
1832	344064	342.100	287	2974
1833	344064	341.854	287	2622
1834	344064	341.994	290	3041
1835	344064	342.305	286	2865
1836	344064	342.236	287	2852
1837	344064	342.191	290	3369
1838	344064	342.048	284	3376
1839	344064	341.780	287	3059
1840	344064	341.710	287	2891
1841	344064	341.866	287	2905
1842	344064	341.794	287	3124
1843	344064	341.793	289	2878
1844	344064	342.206	288	3035
1845	344064	341.731	287	3230
1846	344064	341.561	287	2645
1847	344064	341.992	287	2798
1848	344064	341.730	285	3033
1849	344064	343.073	287	2784
1850	344064	342.349	287	2727
1851	344064	341.808	288	2944
1852	344064	341.649	286	2765
1853	344064	341.409	287	2988
1854	344064	341.669	288	2869
1855	344064	341.950	288	2900
1856	344064	341.303	287	2571
1857	344064	341.414	289	2760
1858	344064	341.400	287	3092
1859	344064	341.101	286	2678
1860	344064	341.332	287	3236
1861	344064	341.041	288	3024
1862	344064	341.498	288	2895
1863	344064	853.707	534	4095
1864	344064	855.372	535	4095
1865	344064	857.064	519	4095
1866	344064	856.622	529	4095
1867	344064	857.201	530	4095
1868	344064	744.410	462	4095
1869	344064	743.022	468	4095
1870	344064	742.193	463	4095
1871	344064	741.671	457	4095
1872	344064	741.483	474	4095
1873	344064	490.068	331	4095
1874	344064	490.334	339	4095
1875	344064	491.490	333	4095
1876	344064	490.782	341	4095
1877	344064	492.326	336	4095
1878	344064	398.838	295	4095
1879	344064	398.242	290	4095
1880	344064	397.309	292	4095
1881	344064	397.103	291	4095
1882	344064	397.583	292	4095
1883	344064	354.928	270	3425
1884	344064	354.489	269	3542
1885	344064	354.204	272	3112
1886	344064	355.175	274	3573
1887	344064	355.730	268	3611
1888	344064	354.143	264	3418
1889	344064	353.493	269	3168
1890	344064	353.272	269	3458
1891	344064	352.759	272	3105
1892	344064	352.759	272	3502
1893	344064	353.058	273	3616
1894	344064	352.988	271	3396
1895	344064	351.994	274	3447
1896	344064	352.177	271	3669
1897	344064	351.828	273	3622
1898	344064	351.064	271	3365
1899	344064	350.834	271	3233
1900	344064	350.753	269	3571
1901	344064	350.819	271	3755
1902	344064	350.044	272	3636
1903	344064	349.969	268	3345
1904	344064	350.062	271	3610
1905	344064	350.023	270	3338
1906	344064	349.795	268	3615
1907	344064	349.476	268	3637
1908	344064	349.234	268	3125
1909	344064	349.928	267	3626
1910	344064	349.050	266	3455
