 	Area	Mean	Min	Max
1	344064	797.216	595	4095
2	344064	797.797	598	4095
3	344064	799.377	601	4095
4	344064	799.765	603	4095
5	344064	801.275	594	4095
6	344064	629.065	492	4095
7	344064	629.891	499	4095
8	344064	628.827	496	4095
9	344064	628.401	491	4095
10	344064	628.484	494	4095
11	344064	445.723	360	4095
12	344064	444.643	367	4095
13	344064	445.148	366	4095
14	344064	444.346	364	4095
15	344064	444.384	364	4095
16	344064	373.997	313	4095
17	344064	374.786	312	4095
18	344064	373.892	313	4095
19	344064	374.002	313	4082
20	344064	373.404	313	4002
21	344064	347.526	300	3926
22	344064	347.638	293	3530
23	344064	346.693	296	3858
24	344064	346.412	296	3861
25	344064	345.569	296	3463
26	344064	344.947	296	3197
27	344064	343.547	288	3645
28	344064	342.213	293	3455
29	344064	341.204	291	3540
30	344064	401.377	334	4095
31	344064	495.224	404	4095
32	344064	555.288	445	4095
33	344064	591.664	467	4095
34	344064	615.743	486	4095
35	344064	633.174	502	4095
36	344064	648.871	513	4095
37	344064	660.260	521	4095
38	344064	671.409	532	4095
39	344064	680.351	529	4095
40	344064	687.396	536	4095
41	344064	693.205	545	4095
42	344064	698.580	547	4095
43	344064	703.003	540	4095
44	344064	707.139	548	4095
45	344064	708.177	550	4095
46	344064	709.284	556	4095
47	344064	709.641	549	4095
48	344064	711.152	544	4095
49	344064	712.298	549	4095
50	344064	713.459	551	4095
51	344064	716.071	553	4095
52	344064	721.270	560	4095
53	344064	719.375	556	4095
54	344064	721.337	551	4095
55	344064	722.439	560	4095
56	344064	723.117	558	4095
57	344064	724.147	558	4095
58	344064	725.172	561	4095
59	344064	726.303	561	4095
60	344064	727.219	560	4095
61	344064	728.302	558	4095
62	344064	729.662	558	4095
63	344064	729.635	563	4095
64	344064	729.874	562	4095
65	344064	730.159	562	4095
66	344064	732.531	561	4095
67	344064	732.453	560	4095
68	344064	734.402	563	4095
69	344064	734.802	560	4095
70	344064	735.551	568	4095
71	344064	735.690	565	4095
72	344064	736.104	566	4095
73	344064	736.161	570	4095
74	344064	737.105	568	4095
75	344064	736.844	571	4095
76	344064	738.901	569	4095
77	344064	738.032	563	4095
78	344064	738.213	561	4095
79	344064	738.942	568	4095
80	344064	739.222	564	4095
81	344064	739.690	559	4095
82	344064	739.587	562	4095
83	344064	744.106	571	4095
84	344064	740.777	572	4095
85	344064	741.737	566	4095
86	344064	741.420	563	4095
87	344064	741.625	565	4095
88	344064	742.960	558	4095
89	344064	742.449	567	4095
90	344064	743.475	574	4095
91	344064	750.446	574	4095
92	344064	742.609	571	4095
93	344064	742.751	559	4095
94	344064	743.850	571	4095
95	344064	743.483	568	4095
96	344064	744.458	568	4095
97	344064	743.916	569	4095
98	344064	745.490	564	4095
99	344064	783.757	652	4095
100	344064	783.936	660	4095
101	344064	784.541	664	4095
102	344064	785.146	663	4095
103	344064	786.145	652	4095
104	344064	660.138	483	4095
105	344064	660.070	483	4095
106	344064	659.381	488	4095
107	344064	659.077	480	4095
108	344064	658.696	482	4095
109	344064	444.818	340	4095
110	344064	444.086	346	4095
111	344064	444.676	341	4095
112	344064	443.798	344	4095
113	344064	444.084	342	4095
114	344064	370.486	296	4095
115	344064	370.971	297	4095
116	344064	371.208	300	4095
117	344064	370.772	299	4095
118	344064	370.348	296	4095
119	344064	344.080	289	1425
120	344064	343.835	289	1440
121	344064	343.285	292	1356
122	344064	342.739	287	1300
123	344064	342.368	281	1311
124	344064	341.917	289	1359
125	344064	340.807	286	1260
126	344064	339.884	286	1270
127	344064	339.529	284	1325
128	344064	467.428	360	2503
129	344064	578.553	428	3544
130	344064	627.050	459	4037
131	344064	655.042	473	4095
132	344064	673.662	494	4095
133	344064	686.895	499	4095
134	344064	698.779	500	4095
135	344064	707.577	507	4095
136	344064	715.836	518	4095
137	344064	722.577	520	4095
138	344064	728.944	526	4095
139	344064	732.465	519	4095
140	344064	737.085	527	4095
141	344064	739.384	528	4095
142	344064	742.116	525	4095
143	344064	743.419	531	4095
144	344064	745.147	531	4095
145	344064	745.490	534	4095
146	344064	746.845	527	4095
147	344064	747.629	531	4095
148	344064	748.015	530	4095
149	344064	749.605	536	4095
150	344064	752.253	537	4095
151	344064	750.144	528	4095
152	344064	751.337	542	4095
153	344064	751.086	532	4095
154	344064	751.913	533	4095
155	344064	752.684	536	4095
156	344064	753.054	531	4095
157	344064	753.971	541	4095
158	344064	754.488	540	4095
159	344064	755.461	545	4095
160	344064	756.675	540	4095
161	344064	756.495	540	4095
162	344064	756.293	541	4095
163	344064	756.712	532	4095
164	344064	759.035	545	4095
165	344064	758.924	546	4095
166	344064	760.458	543	4095
167	344064	760.362	539	4095
168	344064	760.825	543	4095
169	344064	761.274	552	4095
170	344064	761.344	541	4095
171	344064	761.686	539	4095
172	344064	761.684	547	4095
173	344064	761.377	536	4095
174	344064	762.912	545	4095
175	344064	763.268	545	4095
176	344064	763.101	542	4095
177	344064	763.327	543	4095
178	344064	763.679	541	4095
179	344064	763.947	548	4095
180	344064	764.122	547	4095
181	344064	768.298	551	4095
182	344064	764.979	550	4095
183	344064	765.694	550	4095
184	344064	765.643	539	4095
185	344064	765.628	545	4095
186	344064	766.786	550	4095
187	344064	768.144	552	4095
188	344064	766.877	556	4095
189	344064	773.059	555	4095
190	344064	766.099	548	4095
191	344064	766.635	552	4095
192	344064	767.138	554	4095
193	344064	766.749	552	4095
194	344064	768.319	546	4095
195	344064	767.554	549	4095
196	344064	768.422	554	4095
197	344064	790.490	628	4095
198	344064	790.785	636	4095
199	344064	791.524	631	4095
200	344064	792.172	633	4095
201	344064	793.167	639	4095
202	344064	675.481	537	4095
203	344064	675.380	542	4095
204	344064	674.610	539	4095
205	344064	674.965	544	4095
206	344064	674.617	538	4095
207	344064	450.394	372	4095
208	344064	449.137	368	4095
209	344064	449.411	373	4095
210	344064	449.145	372	4095
211	344064	449.281	370	4095
212	344064	372.936	316	3750
213	344064	373.381	316	3615
214	344064	373.795	318	3702
215	344064	373.306	320	3670
216	344064	372.941	317	3564
217	344064	340.619	294	3352
218	344064	340.406	292	3372
219	344064	340.131	295	3313
220	344064	339.663	291	3389
221	344064	339.261	293	3341
222	344064	338.869	289	3344
223	344064	338.060	291	3261
224	344064	336.934	289	3380
225	344064	336.629	288	3258
226	344064	519.748	437	4095
227	344064	616.794	510	4095
228	344064	656.165	548	4095
229	344064	680.476	564	4095
230	344064	695.091	571	4095
231	344064	706.202	583	4095
232	344064	716.248	583	4095
233	344064	723.522	600	4095
234	344064	732.431	600	4095
235	344064	736.622	606	4095
236	344064	741.166	603	4095
237	344064	744.048	612	4095
238	344064	747.656	614	4095
239	344064	750.007	614	4095
240	344064	752.159	621	4095
241	344064	753.038	611	4095
242	344064	753.574	620	4095
243	344064	754.288	618	4095
244	344064	755.671	625	4095
245	344064	756.147	616	4095
246	344064	755.912	618	4095
247	344064	757.755	625	4095
248	344064	759.277	617	4095
249	344064	757.853	621	4095
250	344064	758.464	618	4095
251	344064	758.385	627	4095
252	344064	759.809	626	4095
253	344064	759.589	621	4095
254	344064	759.586	619	4095
255	344064	761.575	618	4095
256	344064	761.918	617	4095
257	344064	763.215	623	4095
258	344064	764.193	626	4095
259	344064	763.167	626	4095
260	344064	762.914	624	4095
261	344064	763.221	617	4095
262	344064	765.388	627	4095
263	344064	765.006	612	4095
264	344064	766.203	632	4095
265	344064	766.385	627	4095
266	344064	766.787	620	4095
267	344064	767.157	628	4095
268	344064	767.027	625	4095
269	344064	766.870	627	4095
270	344064	767.027	633	4095
271	344064	767.250	628	4095
272	344064	768.149	626	4095
273	344064	768.872	630	4095
274	344064	768.390	623	4095
