 	Area	Mean	Min	Max
1	344064	765.859	503	4095
2	344064	767.985	487	4095
3	344064	766.432	499	4095
4	344064	768.200	499	4095
5	344064	767.729	495	4095
6	344064	631.788	418	4095
7	344064	631.339	423	3871
8	344064	631.122	423	4071
9	344064	631.148	425	3847
10	344064	631.369	427	4080
11	344064	438.760	320	2208
12	344064	438.358	322	2377
13	344064	437.463	321	2505
14	344064	437.171	313	2515
15	344064	436.447	319	2492
16	344064	363.654	278	1737
17	344064	363.279	279	1791
18	344064	362.840	275	1624
19	344064	363.097	280	1763
20	344064	362.630	276	1729
21	344064	334.732	266	1303
22	344064	334.170	267	1217
23	344064	334.008	267	1337
24	344064	333.631	266	1232
25	344064	333.784	267	1355
26	344064	333.752	264	1229
27	344064	333.386	264	1263
28	344064	333.057	262	1239
29	344064	431.729	321	2152
30	344064	557.540	387	3224
31	344064	607.017	421	3740
32	344064	634.620	437	4095
33	344064	653.260	450	4095
34	344064	664.878	445	4095
35	344064	674.076	463	4095
36	344064	682.523	457	4095
37	344064	687.296	466	4095
38	344064	692.207	467	4095
39	344064	697.727	468	4095
40	344064	701.865	479	4095
41	344064	704.927	475	4095
42	344064	707.960	477	4095
43	344064	711.913	477	4095
44	344064	711.917	479	4095
45	344064	715.043	481	4095
46	344064	716.817	488	4095
47	344064	719.355	482	4095
48	344064	718.558	487	4095
49	344064	721.244	485	4095
50	344064	722.088	481	4095
51	344064	724.315	487	4095
52	344064	726.323	488	4095
53	344064	727.607	495	4095
54	344064	728.744	485	4095
55	344064	728.948	490	4095
56	344064	729.853	494	4095
57	344064	730.663	497	4095
58	344064	732.104	496	4095
59	344064	732.693	494	4095
60	344064	733.054	492	4095
61	344064	733.950	495	4095
62	344064	734.024	499	4095
63	344064	734.779	490	4095
64	344064	735.552	501	4095
65	344064	736.202	496	4095
66	344064	735.713	488	4095
67	344064	735.085	499	4095
68	344064	736.556	500	4095
69	344064	736.863	495	4095
70	344064	736.955	495	4095
71	344064	736.667	499	4095
72	344064	736.530	493	4095
73	344064	736.866	499	4095
74	344064	736.098	496	4095
75	344064	737.731	498	4095
76	344064	738.687	500	4095
77	344064	736.417	500	4095
78	344064	737.207	497	4095
79	344064	737.892	499	4095
80	344064	741.203	498	4095
81	344064	736.778	503	4095
82	344064	737.889	501	4095
83	344064	738.101	503	4095
84	344064	738.757	506	4095
85	344064	738.154	508	4095
86	344064	739.466	506	4095
87	344064	738.465	501	4095
88	344064	738.862	506	4095
89	344064	739.549	505	4095
90	344064	739.296	507	4095
91	344064	738.982	503	4095
92	344064	739.965	500	4095
93	344064	740.953	508	4095
94	344064	741.197	507	4095
95	344064	740.747	504	4095
96	344064	742.362	510	4095
97	344064	741.111	502	4095
98	344064	741.981	510	4095
99	344064	776.120	644	4095
100	344064	775.742	638	4095
101	344064	776.268	629	4095
102	344064	777.831	646	4095
103	344064	779.164	640	4095
104	344064	649.171	525	4095
105	344064	648.687	537	4095
106	344064	648.392	535	4095
107	344064	648.311	528	4095
108	344064	648.573	536	4095
109	344064	440.316	382	2259
110	344064	439.846	376	2120
111	344064	439.034	374	2184
112	344064	438.995	379	2295
113	344064	438.273	375	2041
114	344064	363.344	319	1425
115	344064	363.040	317	1485
116	344064	362.791	317	1414
117	344064	362.663	316	1371
118	344064	362.527	317	1437
119	344064	330.239	290	1708
120	344064	329.769	292	1703
121	344064	329.677	292	1680
122	344064	329.484	290	1494
123	344064	329.443	290	1441
124	344064	328.955	292	1416
125	344064	328.747	290	1241
126	344064	328.517	292	1337
127	344064	486.236	416	2587
128	344064	598.136	506	3725
129	344064	637.758	526	4095
130	344064	659.774	558	4095
131	344064	675.065	568	4095
132	344064	684.813	578	4095
133	344064	692.254	583	4095
134	344064	699.892	587	4095
135	344064	703.431	586	4095
136	344064	707.588	588	4095
137	344064	712.505	595	4095
138	344064	716.587	591	4095
139	344064	718.023	598	4095
140	344064	720.781	607	4095
141	344064	723.862	605	4095
142	344064	725.566	605	4095
143	344064	726.762	609	4095
144	344064	728.603	611	4095
145	344064	730.502	609	4095
146	344064	729.294	605	4095
147	344064	731.022	612	4095
148	344064	731.514	617	4095
149	344064	734.189	613	4095
150	344064	736.231	618	4095
151	344064	737.233	612	4095
152	344064	738.524	618	4095
153	344064	737.711	616	4095
154	344064	738.725	620	4095
155	344064	739.279	613	4095
156	344064	739.676	616	4095
157	344064	741.505	618	4095
158	344064	741.516	617	4095
159	344064	742.676	608	4095
160	344064	742.930	618	4095
161	344064	742.850	618	4095
162	344064	743.403	618	4095
163	344064	744.176	621	4095
164	344064	743.404	615	4095
165	344064	743.248	624	4095
166	344064	744.569	622	4095
167	344064	744.252	616	4095
168	344064	744.498	622	4095
169	344064	743.577	616	4095
170	344064	743.976	616	4095
171	344064	744.777	621	4095
172	344064	743.998	621	4095
173	344064	744.875	617	4095
174	344064	746.494	622	4095
175	344064	743.416	610	4095
176	344064	744.511	623	4095
177	344064	744.947	618	4095
178	344064	747.935	625	4095
179	344064	744.041	628	4095
180	344064	745.968	624	4095
181	344064	745.142	612	4095
182	344064	746.265	614	4095
183	344064	745.338	619	4095
184	344064	745.535	625	4095
185	344064	745.262	616	4095
186	344064	745.648	622	4095
187	344064	747.427	618	4095
188	344064	746.179	625	4095
189	344064	748.501	622	4095
190	344064	746.799	620	4095
191	344064	747.732	623	4095
192	344064	747.693	622	4095
193	344064	747.925	624	4095
194	344064	750.506	617	4095
195	344064	748.153	625	4095
196	344064	748.693	623	4095
197	344064	808.914	606	4095
198	344064	810.867	611	4095
199	344064	808.660	609	4095
200	344064	809.553	610	4095
201	344064	811.702	613	4095
202	344064	669.476	514	4095
203	344064	668.790	514	4095
204	344064	668.522	511	4095
205	344064	668.409	500	4095
206	344064	668.620	510	4095
207	344064	449.744	358	4095
208	344064	449.438	357	4095
209	344064	448.701	355	4095
210	344064	448.750	354	4095
211	344064	448.218	356	4095
212	344064	369.385	300	3099
213	344064	369.359	298	3229
214	344064	368.965	299	3117
215	344064	369.007	300	2997
216	344064	368.665	302	3110
217	344064	340.158	281	3859
218	344064	339.731	282	4095
219	344064	339.481	275	3698
220	344064	339.173	280	3874
221	344064	339.244	280	3693
222	344064	339.061	279	3520
223	344064	338.844	281	3547
224	344064	338.574	280	3557
225	344064	521.617	412	4095
226	344064	637.893	492	4095
227	344064	677.382	521	4095
228	344064	701.052	531	4095
229	344064	716.563	547	4095
230	344064	726.865	553	4095
231	344064	733.990	559	4095
232	344064	741.216	563	4095
233	344064	746.091	566	4095
234	344064	750.230	575	4095
235	344064	754.890	573	4095
236	344064	759.854	580	4095
237	344064	762.097	579	4095
238	344064	763.658	569	4095
239	344064	767.773	586	4095
240	344064	767.957	584	4095
241	344064	769.727	588	4095
242	344064	771.684	582	4095
243	344064	773.378	587	4095
244	344064	772.806	581	4095
245	344064	774.633	583	4095
246	344064	774.837	586	4095
247	344064	777.256	589	4095
248	344064	779.349	592	4095
249	344064	781.115	593	4095
250	344064	784.831	597	4095
251	344064	781.185	595	4095
252	344064	782.128	594	4095
253	344064	785.312	599	4095
254	344064	783.115	592	4095
255	344064	784.487	596	4095
256	344064	785.455	597	4095
257	344064	786.482	598	4095
258	344064	786.807	595	4095
259	344064	786.309	595	4095
260	344064	786.787	599	4095
261	344064	787.518	597	4095
262	344064	787.301	590	4095
263	344064	788.262	601	4095
264	344064	787.958	598	4095
265	344064	787.899	601	4095
266	344064	788.077	593	4095
267	344064	788.761	599	4095
268	344064	787.272	599	4095
269	344064	787.871	601	4095
270	344064	787.153	597	4095
271	344064	788.563	601	4095
272	344064	789.762	600	4095
273	344064	786.696	590	4095
274	344064	787.586	594	4095
275	344064	789.094	595	4095
276	344064	790.241	596	4095
277	344064	787.158	596	4095
278	344064	789.873	597	4095
279	344064	789.028	592	4095
280	344064	789.916	600	4095
281	344064	788.776	602	4095
282	344064	791.188	599	4095
283	344064	788.121	597	4095
284	344064	788.883	600	4095
285	344064	790.780	599	4095
286	344064	789.250	597	4095
287	344064	790.827	599	4095
288	344064	791.919	596	4095
289	344064	791.954	598	4095
290	344064	790.906	586	4095
291	344064	791.233	601	4095
292	344064	794.827	603	4095
293	344064	791.637	601	4095
294	344064	792.779	594	4095
295	344064	857.815	649	4095
296	344064	859.403	653	4095
297	344064	858.694	649	4095
298	344064	859.721	652	4095
299	344064	862.353	643	4095
300	344064	716.451	534	4095
301	344064	715.796	527	4095
302	344064	715.345	530	4095
303	344064	715.289	525	4095
304	344064	715.551	527	4095
305	344064	477.735	376	4095
306	344064	476.640	373	4095
307	344064	475.911	371	4095
308	344064	475.556	375	4095
309	344064	475.375	372	4095
310	344064	387.653	316	2995
311	344064	387.888	317	2920
312	344064	387.192	315	2876
313	344064	386.996	319	3240
314	344064	386.687	316	2766
315	344064	353.562	292	3963
316	344064	353.031	291	3580
317	344064	352.823	286	3812
318	344064	352.410	287	4045
319	344064	352.425	291	4095
320	344064	352.255	295	3089
321	344064	351.954	293	3193
322	344064	351.481	292	2857
323	344064	525.554	397	4095
324	344064	661.733	489	4095
325	344064	709.377	517	4095
326	344064	736.874	528	4095
327	344064	755.528	545	4095
328	344064	767.684	548	4095
329	344064	776.842	562	4095
330	344064	785.478	567	4095
331	344064	790.609	567	4095
332	344064	795.425	568	4095
333	344064	801.703	569	4095
334	344064	806.352	576	4095
335	344064	808.931	581	4095
336	344064	811.716	587	4095
337	344064	815.305	583	4095
338	344064	816.789	590	4095
339	344064	818.633	587	4095
340	344064	822.666	592	4095
341	344064	823.806	585	4095
342	344064	821.964	583	4095
343	344064	824.364	591	4095
344	344064	824.215	584	4095
345	344064	826.742	593	4095
346	344064	828.904	596	4095
347	344064	831.283	592	4095
348	344064	834.606	585	4095
349	344064	831.835	593	4095
350	344064	832.421	594	4095
351	344064	839.168	595	4095
352	344064	833.717	599	4095
353	344064	836.159	597	4095
354	344064	836.594	597	4095
355	344064	837.854	599	4095
356	344064	838.374	595	4095
357	344064	837.561	597	4095
358	344064	838.404	603	4095
359	344064	840.149	602	4095
360	344064	839.108	601	4095
361	344064	840.332	600	4095
362	344064	840.246	601	4095
363	344064	839.795	602	4095
364	344064	840.229	594	4095
365	344064	840.300	600	4095
366	344064	839.158	600	4095
367	344064	839.878	596	4095
368	344064	840.626	599	4095
369	344064	841.795	593	4095
370	344064	842.372	591	4095
371	344064	838.824	597	4095
372	344064	840.296	604	4095
373	344064	841.682	603	4095
374	344064	842.998	598	4095
375	344064	839.978	597	4095
376	344064	842.449	598	4095
377	344064	841.429	602	4095
378	344064	842.485	603	4095
379	344064	841.871	601	4095
380	344064	845.442	609	4095
381	344064	841.697	596	4095
382	344064	841.492	603	4095
383	344064	843.283	602	4095
384	344064	842.464	597	4095
385	344064	842.880	607	4095
386	344064	844.087	605	4095
387	344064	844.633	602	4095
388	344064	844.789	598	4095
389	344064	844.207	602	4095
390	344064	849.451	605	4095
391	344064	845.228	604	4095
392	344064	845.716	602	4095
393	344064	825.017	639	4095
394	344064	825.781	639	4095
395	344064	825.699	634	4095
396	344064	826.657	629	4095
397	344064	828.398	641	4095
398	344064	673.429	526	4095
399	344064	672.384	524	4095
400	344064	672.405	518	4095
401	344064	672.160	518	4095
402	344064	672.563	526	4095
403	344064	460.752	367	4095
404	344064	460.105	371	4095
405	344064	459.091	370	4095
406	344064	458.965	372	4095
407	344064	458.463	370	4095
408	344064	378.167	311	4095
409	344064	378.169	308	4095
410	344064	377.673	312	4095
411	344064	377.271	310	4095
412	344064	377.027	310	4095
413	344064	346.942	298	4095
414	344064	346.579	303	4095
415	344064	346.088	303	4095
416	344064	345.743	302	4095
417	344064	345.594	302	4095
418	344064	345.232	298	4095
419	344064	344.947	298	4095
420	344064	344.538	302	4095
421	344064	446.832	363	4095
422	344064	567.187	454	4095
423	344064	630.286	504	4095
424	344064	668.241	537	4095
425	344064	691.877	544	4095
426	344064	707.955	561	4095
427	344064	719.080	570	4095
428	344064	729.069	580	4095
429	344064	735.507	578	4095
430	344064	741.588	587	4095
431	344064	747.870	593	4095
432	344064	752.742	596	4095
433	344064	756.128	594	4095
434	344064	759.365	599	4095
435	344064	763.841	601	4095
436	344064	765.662	605	4095
437	344064	767.723	605	4095
438	344064	771.665	602	4095
439	344064	775.821	610	4095
440	344064	772.434	605	4095
441	344064	777.593	614	4095
442	344064	775.560	611	4095
443	344064	777.604	611	4095
444	344064	780.143	617	4095
445	344064	782.157	612	4095
446	344064	786.603	624	4095
447	344064	783.759	616	4095
448	344064	784.526	622	4095
449	344064	788.498	623	4095
450	344064	786.720	620	4095
451	344064	788.005	615	4095
452	344064	788.597	611	4095
453	344064	790.160	622	4095
454	344064	791.022	623	4095
455	344064	790.160	611	4095
456	344064	791.070	626	4095
457	344064	792.189	627	4095
458	344064	791.583	611	4095
459	344064	791.981	616	4095
460	344064	792.982	623	4095
461	344064	792.579	628	4095
462	344064	793.273	625	4095
463	344064	793.204	630	4095
464	344064	792.942	624	4095
465	344064	792.892	621	4095
466	344064	793.809	622	4095
467	344064	795.712	616	4095
468	344064	795.179	623	4095
469	344064	792.839	615	4095
470	344064	794.164	627	4095
471	344064	795.169	627	4095
472	344064	796.066	628	4095
473	344064	794.041	622	4095
474	344064	796.089	623	4095
475	344064	795.885	620	4095
476	344064	796.544	626	4095
477	344064	796.857	631	4095
478	344064	798.314	626	4095
479	344064	795.482	621	4095
480	344064	796.333	631	4095
481	344064	797.926	630	4095
482	344064	796.616	629	4095
483	344064	797.133	627	4095
484	344064	797.874	630	4095
485	344064	799.451	633	4095
486	344064	798.833	630	4095
487	344064	798.909	635	4095
488	344064	803.846	637	4095
489	344064	799.564	631	4095
490	344064	800.310	635	4095
491	344064	785.435	605	4095
492	344064	785.487	600	4095
493	344064	785.863	601	4095
494	344064	789.893	602	4095
495	344064	787.911	603	4095
496	344064	630.024	475	4095
497	344064	629.245	477	4095
498	344064	628.909	477	4095
499	344064	628.118	471	4095
500	344064	628.682	481	4095
501	344064	447.685	358	4095
502	344064	446.612	357	4095
503	344064	445.746	355	4095
504	344064	445.294	357	4095
505	344064	444.600	352	4095
506	344064	371.385	305	3720
507	344064	370.982	308	3647
508	344064	370.591	307	3509
509	344064	369.778	303	3730
510	344064	369.492	305	3599
511	344064	340.425	291	2812
512	344064	339.900	287	2527
513	344064	339.494	292	2386
514	344064	339.100	291	2327
515	344064	338.994	292	2200
516	344064	338.778	292	3555
517	344064	338.669	289	3602
518	344064	338.343	289	3160
519	344064	393.691	326	4095
520	344064	497.457	393	4095
521	344064	558.767	434	4095
